"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"157","bmg2021uuli","2021-10-23T19:09:09.901322Z","-6.736021519","130.3695221","4.140384688","M","128","30","67.18385315","Banda Sea","BMKG"
"158","bmg2021uugh","2021-10-23T16:37:18.619361Z","0.1370939761","123.6879883","3.29866447","M","140","17","91.30141068","Minahassa Peninsula, Sulawesi","BMKG"
"159","bmg2021uuda","2021-10-23T14:58:14.091727Z","-9.626439095","118.9802628","4.596533125","M","10","56","174.471817","Sumbawa Region, Indonesia","BMKG"
"160","bmg2021uubn","2021-10-23T14:11:48.351244Z","-7.289736748","110.4324951","2.907343427","MLv","10","18","77.02435303","Java, Indonesia","BMKG"
"161","bmg2021uubj","2021-10-23T14:07:18.215645Z","-2.344357729","139.2614441","4.092506202","M","96","19","153.5030441","Near North Coast of Irian Jaya","BMKG"
"162","bmg2021uubc","2021-10-23T13:59:02.130581Z","-2.583788633","130.1994019","2.503524136","M","15","4","302.5878601","Seram, Indonesia","BMKG"
"163","bmg2021utzz","2021-10-23T13:25:41.495861Z","0.9537015557","121.9775696","4.155803446","M","10","30","118.368866","Minahassa Peninsula, Sulawesi","BMKG"
"164","bmg2021utxd","2021-10-23T11:58:47.863942Z","-7.32644701","110.4086075","2.908339378","M","10","19","76.13677979","Java, Indonesia","BMKG"
"165","bmg2021utuh","2021-10-23T10:32:41.433724Z","-7.08479023","130.0718536","4.599390001","M","169","43","71.89259338","Tanimbar Islands Reg., Indonesia","BMKG"
"166","bmg2021utts","2021-10-23T10:15:40.260957Z","-7.297002316","110.4734497","3.443282302","M","19","26","47.99325562","Java, Indonesia","BMKG"
"167","bmg2021uttg","2021-10-23T10:01:44.643212Z","-7.195306778","110.3939819","2.781739633","M","10","14","77.83334351","Java, Indonesia","BMKG"
"168","bmg2021utsg","2021-10-23T09:31:18.854074Z","-8.316848755","111.8234024","2.991084406","M","93","27","184.1297302","Java, Indonesia","BMKG"
"169","bmg2021utri","2021-10-23T09:02:48.505355Z","-7.332419395","110.3824768","3.044729626","M","10","26","63.5222168","Java, Indonesia","BMKG"
"170","bmg2021utrg","2021-10-23T09:01:21.658881Z","-0.4204204381","108.9243011","4.813112235","M","10","9","148.3332746","Java Sea","BMKG"
"171","bmg2021utrc","2021-10-23T08:56:16.895499Z","-7.27076149","110.4088745","2.963853088","M","12","20","78.49460602","Java, Indonesia","BMKG"
